1001AY38Z	09.12.2022 11.57.48,951000000
1001AY1YE	07.12.2022 09.08.49,068000000
1001AY1YD	07.12.2022 09.06.31,882000000
1001AY1YA	07.12.2022 08.59.14,292000000
1001AY1Y8	07.12.2022 09.09.06,199000000
1001AY1Y6	07.12.2022 08.48.22,947000000
1001AY1XZ	07.12.2022 08.41.15,996000000
1001AY1XP	07.12.2022 08.07.00,651000000
1001AY1XN	07.12.2022 07.22.16,770000000
1001AY1XG	07.12.2022 05.56.19,181000000
1001AY1XD	07.12.2022 05.29.05,044000000
1001AY1XC	07.12.2022 04.52.52,352000000
1001AY1XA	07.12.2022 04.48.51,868000000
1001AY1X8	07.12.2022 03.47.38,518000000
1001AY1WZ	07.12.2022 01.52.40,324000000
1001AY1WX	07.12.2022 01.44.53,362000000
1001AY1WV	07.12.2022 01.16.11,686000000
1001AY1WS	07.12.2022 00.51.58,453000000
1001AY1WP	07.12.2022 00.59.44,408000000
1001AY1WN	07.12.2022 00.29.11,700000000
1001AY1WK	07.12.2022 17.20.00,799000000
1001AY1WJ	07.12.2022 17.23.56,510000000
1001AY1WH	07.12.2022 16.05.26,827000000
1001AY1WG	07.12.2022 15.05.35,173000000
1001AY1WF	07.12.2022 00.12.52,069000000
1001AY1WE	07.12.2022 14.54.28,374000000
1001AY1WD	07.12.2022 00.21.54,147000000
1001AY1WB	07.12.2022 00.10.03,343000000
1001AY1WA	07.12.2022 00.19.08,862000000
1001AY1W3	06.12.2022 23.57.25,027000000
1001AY1W2	06.12.2022 23.59.23,871000000
1001AY1W0	06.12.2022 23.25.21,718000000
1001AY1VZ	06.12.2022 23.19.26,582000000
1001AY1VY	06.12.2022 23.18.27,804000000
1001AY1VV	06.12.2022 23.09.23,530000000
1001AY1VU	06.12.2022 23.14.53,994000000
1001AY1VS	06.12.2022 23.06.54,304000000
1001AY1VL	06.12.2022 22.43.08,056000000
1001AY1VK	06.12.2022 22.44.43,878000000
1001AY1VJ	06.12.2022 22.52.11,166000000
1001AY1Vi	06.12.2022 22.43.19,101000000
1001AY1VF	06.12.2022 22.33.17,227000000
1001AY1VB	06.12.2022 22.28.08,470000000
1001AY1VA	06.12.2022 22.33.46,097000000
1001AY1V9	06.12.2022 22.28.53,592000000
1001AY1V8	06.12.2022 22.22.31,121000000
1001AY1V7	06.12.2022 22.23.34,453000000
1001AY1V6	06.12.2022 22.21.01,783000000
1001AY1V5	06.12.2022 22.18.32,898000000
1001AY1UW	06.12.2022 22.22.45,810000000
1001AY1US	06.12.2022 22.02.55,841000000
1001AY1UP	08.12.2022 21.37.11,896000000
1001AY1UC	06.12.2022 21.44.37,477000000
1001AY1UB	06.12.2022 21.52.23,915000000
1001AY1U6	06.12.2022 21.31.47,953000000
1001AY1U4	06.12.2022 21.30.39,540000000
1001AY1U3	06.12.2022 21.39.17,938000000
1001AY1U1	06.12.2022 21.23.48,579000000
1001AY1TZ	06.12.2022 21.20.06,415000000
1001AY1TW	06.12.2022 21.21.30,430000000
1001AY1TR	06.12.2022 21.06.06,937000000
1001AY1TQ	07.12.2022 10.03.25,692000000
1001AY1TH	06.12.2022 20.46.45,790000000
1001AY1TF	06.12.2022 21.01.15,806000000
1001AY1T9	06.12.2022 20.39.54,878000000
1001AY1T8	06.12.2022 20.36.50,403000000
1001AY1T7	06.12.2022 20.36.09,589000000
1001AY1T5	06.12.2022 20.29.33,596000000
1001AY1T4	06.12.2022 20.34.18,626000000
1001AY1T2	06.12.2022 20.27.14,932000000
1001AY1ST	06.12.2022 19.58.18,059000000
1001AY1Si	06.12.2022 19.48.51,986000000
1001AY1SH	06.12.2022 19.45.33,321000000
1001AY1SF	06.12.2022 19.33.12,850000000
1001AY1SC	06.12.2022 19.28.09,183000000
1001AY1S8	06.12.2022 19.18.23,866000000
1001AY1S2	06.12.2022 19.06.55,533000000
1001AY1RY	06.12.2022 19.04.39,612000000
1001AY1RW	06.12.2022 19.15.36,904000000
1001AY1RQ	06.12.2022 18.54.28,105000000
1001AY1Ro	06.12.2022 19.09.25,343000000
1001AY1RL	06.12.2022 18.46.07,792000000
1001AY1RK	06.12.2022 19.30.30,609000000
1001AY1RJ	06.12.2022 18.44.46,333000000
1001AY1RG	06.12.2022 18.34.50,761000000
1001AY1RE	06.12.2022 18.27.56,570000000
1001AY1RC	06.12.2022 18.35.56,732000000
1001AY1RB	06.12.2022 18.32.50,658000000
1001AY1R9	06.12.2022 18.25.15,474000000
1001AY1R7	06.12.2022 18.30.47,733000000
1001AY1R6	06.12.2022 18.21.19,111000000
1001AY1QZ	06.12.2022 19.15.32,893000000
1001AY1QV	06.12.2022 18.14.09,790000000
1001AY1QR	06.12.2022 18.08.44,362000000
1001AY1QP	06.12.2022 18.09.17,035000000
1001AY1QK	06.12.2022 18.20.58,221000000
1001AY1QD	06.12.2022 17.55.12,266000000
1001AY1Q9	06.12.2022 17.37.27,422000000
1001AY1Q8	06.12.2022 17.53.04,496000000
1001AY1Q6	06.12.2022 17.33.57,984000000
1001AY1Q3	07.12.2022 21.00.44,545000000
1001AY1Q0	06.12.2022 18.10.36,166000000
1001AY1PZ	06.12.2022 17.13.30,614000000
1001AY1PV	06.12.2022 17.18.03,446000000
1001AY1PR	06.12.2022 17.04.57,749000000
1001AY1PQ	06.12.2022 17.00.43,895000000
1001AY1PP	06.12.2022 17.40.14,624000000
1001AY1Po	06.12.2022 17.00.51,372000000
1001AY1PL	06.12.2022 17.03.33,954000000
1001AY1PJ	06.12.2022 16.43.30,883000000
1001AY1PH	06.12.2022 16.40.53,315000000
1001AY1PF	06.12.2022 16.34.13,474000000
1001AY1P6	06.12.2022 16.24.36,439000000
1001AY1P1	06.12.2022 16.27.02,911000000
1001AY1oY	06.12.2022 16.13.07,281000000
1001AY1oW	06.12.2022 16.18.48,693000000
1001AY1oV	06.12.2022 16.17.54,826000000
1001AY1oL	06.12.2022 16.03.00,423000000
1001AY1oi	06.12.2022 16.08.10,136000000
1001AY1oH	08.12.2022 13.12.04,808000000
1001AY1oD	06.12.2022 16.16.38,785000000
1001AY1oA	06.12.2022 16.01.26,577000000
1001AY1o8	06.12.2022 15.52.36,853000000
1001AY1o7	06.12.2022 15.46.48,555000000
1001AY1o6	08.12.2022 13.19.29,678000000
1001AY1o5	06.12.2022 15.49.01,747000000
1001AY1o2	06.12.2022 15.54.18,959000000
1001AY1o1	06.12.2022 15.44.20,171000000
1001AY1NZ	06.12.2022 15.42.59,861000000
1001AY1NY	07.12.2022 16.07.20,057000000
1001AY1No	06.12.2022 16.07.54,746000000
1001AY1NL	06.12.2022 15.37.47,011000000
1001AY1NJ	06.12.2022 15.33.00,937000000
1001AY1NG	06.12.2022 15.28.53,947000000
1001AY1NF	06.12.2022 15.32.33,378000000
1001AY1ND	06.12.2022 15.27.40,418000000
1001AY1NA	06.12.2022 15.26.20,725000000
1001AY1N9	06.12.2022 15.26.31,316000000
1001AY1N5	06.12.2022 15.35.17,046000000
1001AY1N4	06.12.2022 15.20.48,629000000
1001AY1N3	06.12.2022 15.42.04,504000000
1001AY1MZ	06.12.2022 15.20.03,275000000
1001AY1MU	07.12.2022 23.13.24,368000000
1001AY1Mo	06.12.2022 15.07.06,672000000
1001AY1MN	06.12.2022 15.09.52,402000000
1001AY1MK	06.12.2022 15.06.48,544000000
1001AY1MH	06.12.2022 15.13.49,138000000
1001AY1ME	06.12.2022 14.58.20,553000000
1001AY1MA	06.12.2022 14.56.50,954000000
1001AY1M9	06.12.2022 14.53.58,821000000
1001AY1M8	06.12.2022 14.49.52,993000000
1001AY1M2	06.12.2022 14.45.26,794000000
1001AY1LZ	06.12.2022 14.42.47,430000000
1001AY1LY	06.12.2022 14.44.27,628000000
1001AY1LU	06.12.2022 14.38.34,781000000
1001AY1LT	06.12.2022 14.35.13,315000000
1001AY1LR	06.12.2022 14.36.50,109000000
1001AY1LP	06.12.2022 15.26.38,892000000
1001AY1LM	06.12.2022 14.37.26,986000000
1001AY1LL	06.12.2022 14.31.28,996000000
1001AY1LJ	06.12.2022 14.36.03,478000000
1001AY1Li	06.12.2022 14.31.31,634000000
1001AY1LH	06.12.2022 14.29.04,488000000
1001AY1LG	06.12.2022 14.30.53,299000000
1001AY1LF	06.12.2022 14.31.48,660000000
1001AY1LE	06.12.2022 14.30.28,137000000
1001AY1LD	06.12.2022 14.58.01,512000000
1001AY1LC	06.12.2022 14.28.50,930000000
1001AY1L8	06.12.2022 14.22.37,091000000
1001AY1L5	06.12.2022 14.24.16,825000000
1001AY1L4	06.12.2022 14.15.37,265000000
1001AY1L3	06.12.2022 14.21.44,170000000
1001AY1KZ	06.12.2022 14.15.13,056000000
1001AY1KY	06.12.2022 14.11.39,714000000
1001AY1KW	06.12.2022 14.15.34,449000000
1001AY1KV	06.12.2022 14.11.48,199000000
1001AY1KS	06.12.2022 14.08.32,675000000
1001AY1KP	06.12.2022 14.04.47,724000000
1001AY1Ko	06.12.2022 14.01.59,691000000
1001AY1KN	06.12.2022 14.03.19,055000000
1001AY1KK	06.12.2022 14.02.42,288000000
1001AY1Ki	06.12.2022 14.11.43,144000000
1001AY1KH	06.12.2022 13.55.56,302000000
1001AY1KG	06.12.2022 13.56.30,630000000
1001AY1KF	06.12.2022 13.55.56,837000000
1001AY1KA	06.12.2022 13.48.22,535000000
1001AY1K5	06.12.2022 14.02.25,937000000
1001AY1K1	06.12.2022 13.46.46,759000000
1001AY1K0	06.12.2022 13.55.55,973000000
1001AY1JY	06.12.2022 13.45.25,141000000
1001AY1JW	06.12.2022 13.49.41,230000000
1001AY1JQ	06.12.2022 13.39.07,114000000
1001AY1JN	06.12.2022 14.53.49,938000000
1001AY1JM	06.12.2022 13.35.22,136000000
1001AY1JL	06.12.2022 13.34.21,461000000
1001AY1J8	06.12.2022 13.35.38,072000000
1001AY1J7	06.12.2022 14.01.55,464000000
1001AY1J5	06.12.2022 13.22.12,239000000
1001AY1J1	06.12.2022 13.35.17,900000000
1001AY1iW	06.12.2022 13.16.13,924000000
1001AY1iV	06.12.2022 13.15.00,788000000
1001AY1iS	06.12.2022 13.15.29,927000000
1001AY1iR	06.12.2022 13.13.55,508000000
1001AY1io	06.12.2022 13.05.02,142000000
1001AY1iN	06.12.2022 13.05.58,668000000
1001AY1iL	06.12.2022 13.03.02,348000000
1001AY1iG	06.12.2022 13.05.58,167000000
1001AY1iF	06.12.2022 13.07.54,096000000
1001AY1iC	06.12.2022 13.00.06,509000000
1001AY1iB	06.12.2022 12.56.25,894000000
1001AY1i9	06.12.2022 13.08.25,831000000
1001AY1i2	06.12.2022 12.45.18,686000000
1001AY1i1	06.12.2022 12.45.55,703000000
1001AY1i0	06.12.2022 12.46.17,408000000
1001AY1HV	06.12.2022 12.42.37,615000000
1001AY1HU	06.12.2022 18.57.01,815000000
1001AY1HS	06.12.2022 12.48.15,749000000
1001AY1HR	06.12.2022 12.56.20,747000000
1001AY1HN	06.12.2022 12.38.38,874000000
1001AY1HH	07.12.2022 00.50.20,849000000
1001AY1HD	06.12.2022 12.41.58,500000000
1001AY1HB	06.12.2022 12.36.20,662000000
1001AY1HA	06.12.2022 12.29.49,987000000
1001AY1H6	06.12.2022 12.27.40,499000000
1001AY1H2	06.12.2022 12.28.01,536000000
1001AY1GY	06.12.2022 12.29.56,294000000
1001AY1GT	06.12.2022 12.26.32,843000000
1001AY1Go	06.12.2022 12.21.18,014000000
1001AY1GM	06.12.2022 12.21.40,541000000
1001AY1GK	06.12.2022 12.19.36,827000000
1001AY1GG	06.12.2022 12.22.29,601000000
1001AY1GE	06.12.2022 12.12.28,171000000
1001AY1GD	06.12.2022 12.28.32,835000000
1001AY1GA	06.12.2022 12.27.31,814000000
1001AY1G9	06.12.2022 12.16.20,118000000
1001AY1G7	06.12.2022 12.12.04,938000000
1001AY1G3	06.12.2022 13.08.11,534000000
1001AY1G0	06.12.2022 12.02.39,073000000
1001AY1FW	06.12.2022 12.00.59,221000000
1001AY1FU	06.12.2022 11.56.40,196000000
1001AY1FT	06.12.2022 12.03.53,111000000
1001AY1FQ	06.12.2022 11.51.27,007000000
1001AY1FP	06.12.2022 11.57.23,652000000
1001AY1FM	06.12.2022 11.51.24,415000000
1001AY1FL	06.12.2022 12.04.28,821000000
1001AY1Fi	06.12.2022 11.46.55,424000000
1001AY1FF	06.12.2022 11.44.56,117000000
1001AY1FC	06.12.2022 11.51.58,944000000
1001AY1F8	06.12.2022 11.45.33,846000000
1001AY1F7	06.12.2022 11.38.51,473000000
1001AY1F6	06.12.2022 11.32.29,290000000
1001AY1F5	06.12.2022 16.19.33,699000000
1001AY1F3	06.12.2022 11.33.14,638000000
1001AY1EX	06.12.2022 11.41.46,450000000
1001AY1EW	06.12.2022 11.40.47,509000000
1001AY1ET	06.12.2022 11.24.33,102000000
1001AY1EQ	06.12.2022 11.47.40,001000000
1001AY1Eo	06.12.2022 11.17.11,537000000
1001AY1EN	06.12.2022 11.17.08,011000000
1001AY1EM	06.12.2022 11.14.00,386000000
1001AY1EG	06.12.2022 11.09.43,140000000
1001AY1EF	06.12.2022 11.11.26,066000000
1001AY1EE	06.12.2022 11.12.47,147000000
1001AY1EB	06.12.2022 11.09.07,908000000
1001AY1E8	06.12.2022 11.23.02,155000000
1001AY1E7	06.12.2022 11.14.31,013000000
1001AY1E6	06.12.2022 11.13.12,164000000
1001AY1E2	06.12.2022 11.03.07,250000000
1001AY1DY	06.12.2022 11.03.16,660000000
1001AY1DW	06.12.2022 11.08.15,738000000
1001AY1DV	06.12.2022 11.08.36,597000000
1001AY1DP	06.12.2022 10.54.37,814000000
1001AY1D9	06.12.2022 11.28.06,074000000
1001AY1D8	06.12.2022 10.49.18,903000000
1001AY1D6	06.12.2022 10.45.39,587000000
1001AY1D3	06.12.2022 20.55.05,619000000
1001AY1CW	06.12.2022 10.53.30,785000000
1001AY1CU	06.12.2022 15.11.47,633000000
1001AY1CS	06.12.2022 12.00.36,670000000
1001AY1CQ	06.12.2022 10.33.16,808000000
1001AY1CG	06.12.2022 10.35.57,561000000
1001AY1CB	06.12.2022 10.20.17,098000000
1001AY1C9	06.12.2022 10.32.29,965000000
1001AY1C8	07.12.2022 13.58.08,026000000
1001AY1C5	07.12.2022 20.32.36,779000000
1001AY1C4	06.12.2022 10.19.15,706000000
1001AY1BZ	06.12.2022 10.14.00,593000000
1001AY1BU	06.12.2022 10.02.24,822000000
1001AY1BL	06.12.2022 10.13.56,455000000
1001AY1BK	06.12.2022 10.02.15,702000000
1001AY1Bi	06.12.2022 09.52.39,924000000
1001AY1BH	06.12.2022 09.49.28,387000000
1001AY1BF	06.12.2022 09.41.29,586000000
1001AY1BE	06.12.2022 09.55.12,398000000
1001AY1BC	06.12.2022 09.41.39,736000000
1001AY1B8	06.12.2022 09.33.34,353000000
1001AY1B7	06.12.2022 09.44.31,247000000
1001AY1B3	06.12.2022 09.39.41,288000000
1001AY1AY	06.12.2022 09.32.18,140000000
1001AY1AX	06.12.2022 09.52.27,317000000
1001AY1AV	06.12.2022 09.35.04,542000000
1001AY1AU	06.12.2022 09.16.06,437000000
1001AY1AR	06.12.2022 09.19.34,705000000
1001AY1AP	06.12.2022 09.27.44,092000000
1001AY1Ao	06.12.2022 09.07.48,170000000
1001AY1AM	06.12.2022 13.53.20,712000000
1001AY1AL	06.12.2022 09.06.42,331000000
1001AY1Ai	06.12.2022 08.57.35,470000000
1001AY1AH	06.12.2022 08.48.19,987000000
1001AY1AG	06.12.2022 09.28.55,972000000
1001AY1AF	06.12.2022 23.39.30,105000000
1001AY1AD	06.12.2022 08.43.40,854000000
1001AY1AC	06.12.2022 13.39.16,495000000
1001AY1AA	06.12.2022 08.47.32,818000000
1001AY1A9	06.12.2022 08.30.01,818000000
1001AY1A8	06.12.2022 08.35.32,410000000
1001AY1A7	06.12.2022 08.23.21,938000000
1001AY1A6	06.12.2022 08.24.42,425000000
1001AY1A4	06.12.2022 08.17.04,513000000
1001AY1A3	06.12.2022 08.14.25,394000000
1001AY1A2	06.12.2022 08.03.37,411000000
1001AY19Y	06.12.2022 08.02.03,752000000
1001AY19Q	06.12.2022 07.37.28,887000000
1001AY19P	06.12.2022 07.26.31,298000000
1001AY19M	06.12.2022 08.01.35,803000000
1001AY19L	06.12.2022 07.24.09,663000000
1001AY19i	06.12.2022 07.18.48,892000000
1001AY19D	06.12.2022 05.44.12,520000000
1001AY19A	06.12.2022 03.29.32,367000000
1001AY197	06.12.2022 02.26.21,725000000
1001AY195	06.12.2022 02.19.53,168000000
1001AY192	06.12.2022 01.59.17,712000000
1001AY191	06.12.2022 01.55.10,827000000
1001AY18U	06.12.2022 00.44.08,091000000
1001AY18R	06.12.2022 00.34.48,500000000
1001AY18K	06.12.2022 00.03.47,706000000
1001AY18J	06.12.2022 00.05.05,970000000
1001AY18i	05.12.2022 23.52.53,594000000
1001AY18G	06.12.2022 01.24.55,829000000
1001AY18A	05.12.2022 23.26.18,004000000
1001AY189	06.12.2022 11.26.07,794000000
1001AY187	06.12.2022 12.45.47,186000000
1001AY185	05.12.2022 23.01.52,777000000
1001AY183	05.12.2022 22.58.32,198000000
1001AY181	05.12.2022 22.51.13,493000000
1001AY180	05.12.2022 22.58.51,458000000
1001AY17T	06.12.2022 16.04.12,314000000
1001AY17S	05.12.2022 22.31.34,031000000
1001AY17o	05.12.2022 22.18.57,953000000
1001AY17N	05.12.2022 22.31.49,185000000
1001AY17M	05.12.2022 22.21.54,064000000
1001AY17K	05.12.2022 22.16.49,305000000
1001AY17i	05.12.2022 22.11.04,390000000
1001AY164	05.12.2022 20.18.24,622000000
1001AY15X	05.12.2022 19.54.01,426000000
1001AY15W	05.12.2022 19.50.54,890000000
1001AY15V	05.12.2022 19.59.47,148000000
1001AY15U	05.12.2022 19.48.48,655000000
1001AY15o	05.12.2022 19.41.30,215000000
1001AY15J	05.12.2022 20.03.32,680000000
1001AY15i	05.12.2022 19.44.08,561000000
1001AY15F	05.12.2022 19.34.09,293000000
1001AY15E	05.12.2022 19.39.28,063000000
1001AY15C	05.12.2022 19.26.46,254000000
1001AY15A	05.12.2022 19.23.16,229000000
1001AY157	06.12.2022 14.24.00,117000000
1001AY155	05.12.2022 19.18.47,033000000
1001AY153	05.12.2022 19.06.13,437000000
1001AY150	05.12.2022 19.05.37,607000000
1001AY14Z	05.12.2022 19.02.00,006000000
1001AY14X	05.12.2022 18.58.19,086000000
1001AY14T	05.12.2022 18.43.40,592000000
1001AY14R	05.12.2022 18.47.19,447000000
1001AY14P	05.12.2022 18.41.20,151000000
1001AY14o	05.12.2022 18.40.38,787000000
1001AY14N	05.12.2022 18.44.42,083000000
1001AY14M	07.12.2022 17.27.56,566000000
1001AY14K	06.12.2022 15.26.37,670000000
1001AY14J	05.12.2022 18.34.19,184000000
1001AY14E	05.12.2022 18.49.22,648000000
1001AY14C	05.12.2022 18.27.04,312000000
1001AY149	05.12.2022 18.15.30,942000000
1001AY145	05.12.2022 18.44.11,070000000
1001AY143	05.12.2022 19.16.18,926000000
1001AY13Z	05.12.2022 17.56.42,723000000
1001AY13V	06.12.2022 06.45.02,273000000
1001AY13U	05.12.2022 17.48.03,073000000
1001AY13Q	05.12.2022 17.35.45,772000000
1001AY13M	05.12.2022 17.31.08,472000000
1001AY13i	05.12.2022 17.37.11,864000000
1001AY13F	05.12.2022 17.47.20,140000000
1001AY13E	05.12.2022 17.13.22,993000000
1001AY13C	05.12.2022 17.10.13,661000000
1001AY13B	05.12.2022 17.08.02,051000000
1001AY13A	05.12.2022 17.07.45,687000000
1001AY137	05.12.2022 17.04.46,931000000
1001AY136	05.12.2022 17.13.38,739000000
1001AY135	05.12.2022 17.03.01,669000000
1001AY130	05.12.2022 16.54.02,077000000
1001AY12Z	05.12.2022 16.53.55,761000000
1001AY12W	05.12.2022 16.45.21,781000000
1001AY12Q	07.12.2022 15.26.07,840000000
1001AY12P	05.12.2022 16.40.25,385000000
1001AY12o	05.12.2022 16.55.24,774000000
1001AY12M	05.12.2022 16.38.41,774000000
1001AY12J	05.12.2022 16.40.02,355000000
1001AY12C	05.12.2022 16.23.13,458000000
1001AY12B	05.12.2022 16.24.51,351000000
1001AY12A	05.12.2022 16.32.49,317000000
1001AY128	05.12.2022 16.19.06,148000000
1001AY127	05.12.2022 16.20.24,664000000
1001AY126	05.12.2022 16.20.18,908000000
1001AY121	05.12.2022 16.21.59,961000000
1001AY11V	05.12.2022 16.00.30,676000000
1001AY11U	05.12.2022 15.59.10,734000000
1001AY11R	06.12.2022 15.29.15,273000000
1001AY11P	05.12.2022 16.05.36,291000000
1001AY11i	05.12.2022 15.56.41,908000000
1001AY11A	05.12.2022 15.32.53,598000000
1001AY118	05.12.2022 15.32.54,088000000
1001AY117	05.12.2022 15.38.17,330000000
1001AY115	05.12.2022 15.35.09,168000000
1001AY114	05.12.2022 15.39.45,657000000
1001AY10Z	05.12.2022 15.32.52,994000000
1001AY10X	05.12.2022 15.35.24,671000000
1001AY10W	05.12.2022 15.22.35,886000000
1001AY10V	06.12.2022 08.58.27,707000000
1001AY10U	05.12.2022 15.21.09,391000000
1001AY10R	05.12.2022 15.27.36,380000000
1001AY10Q	05.12.2022 15.20.28,157000000
1001AY10P	05.12.2022 15.29.27,291000000
1001AY10C	05.12.2022 15.06.36,963000000
1001AY108	05.12.2022 16.06.27,274000000
1001AY107	05.12.2022 15.03.09,413000000
1001AY103	05.12.2022 15.04.50,081000000
1001AY0ZX	05.12.2022 14.59.22,110000000
1001AY0ZW	05.12.2022 15.21.31,876000000
1001AY0ZT	05.12.2022 14.58.30,255000000
1001AY0Zo	05.12.2022 15.20.07,521000000
1001AY0ZJ	05.12.2022 14.58.22,985000000
1001AY0ZH	05.12.2022 14.51.42,868000000
1001AY0ZE	05.12.2022 14.57.36,204000000
1001AY0ZC	06.12.2022 11.33.40,795000000
1001AY0ZB	05.12.2022 14.50.09,495000000
1001AY0ZA	05.12.2022 14.48.31,053000000
1001AY0Z9	05.12.2022 15.36.24,235000000
1001AY0Z7	05.12.2022 14.58.15,452000000
1001AY0Z4	05.12.2022 15.09.08,463000000
1001AY0Z3	05.12.2022 14.51.27,751000000
1001AY0YZ	05.12.2022 14.43.58,015000000
1001AY0YY	05.12.2022 14.44.48,231000000
1001AY0YX	05.12.2022 15.03.19,172000000
1001AY0YU	05.12.2022 17.44.11,686000000
1001AY0YT	05.12.2022 15.21.10,259000000
1001AY0YS	05.12.2022 14.58.35,255000000
1001AY0Yo	05.12.2022 15.04.12,963000000
1001AY0YN	05.12.2022 14.40.25,259000000
1001AY0YM	05.12.2022 14.39.20,261000000
1001AY0YJ	05.12.2022 14.33.31,876000000
1001AY0YH	05.12.2022 14.33.25,226000000
1001AY0YE	05.12.2022 14.33.56,268000000
1001AY0YC	05.12.2022 14.41.43,430000000
1001AY0YB	05.12.2022 14.31.20,239000000
1001AY0Y5	05.12.2022 14.30.01,837000000
1001AY0Y3	05.12.2022 14.30.44,641000000
1001AY0Y2	05.12.2022 14.36.09,227000000
1001AY0Y0	05.12.2022 14.27.34,858000000
1001AY0XZ	05.12.2022 14.31.33,370000000
1001AY0XY	05.12.2022 14.32.33,261000000
1001AY0XW	05.12.2022 14.39.11,373000000
1001AY0XS	05.12.2022 14.30.08,426000000
1001AY0XR	05.12.2022 14.28.22,190000000
1001AY0XJ	05.12.2022 14.22.05,172000000
1001AY0XD	06.12.2022 15.10.00,810000000
1001AY0XC	05.12.2022 14.39.47,231000000
1001AY0X8	05.12.2022 14.12.19,305000000
1001AY0X3	07.12.2022 15.16.04,818000000
1001AY0X1	05.12.2022 14.04.10,384000000
1001AY0X0	07.12.2022 15.31.39,838000000
1001AY0WY	05.12.2022 14.05.37,010000000
1001AY0WX	05.12.2022 14.23.50,147000000
1001AY0WU	05.12.2022 14.04.39,548000000
1001AY0WQ	05.12.2022 14.31.26,245000000
1001AY0WN	05.12.2022 14.04.27,563000000
1001AY0WM	05.12.2022 13.57.21,325000000
1001AY0WH	05.12.2022 13.57.32,416000000
1001AY0WF	05.12.2022 13.56.02,577000000
1001AY0WE	05.12.2022 14.16.13,999000000
1001AY0WC	05.12.2022 13.53.53,193000000
1001AY0WA	05.12.2022 16.25.55,929000000
1001AY0W8	05.12.2022 13.53.49,523000000
1001AY0W5	05.12.2022 14.34.47,240000000
1001AY0VY	05.12.2022 13.52.27,872000000
1001AY0VQ	05.12.2022 13.41.18,969000000
1001AY0VP	05.12.2022 13.37.51,352000000
1001AY0Vo	05.12.2022 14.02.49,060000000
1001AY0VN	05.12.2022 13.43.50,815000000
1001AY0VL	05.12.2022 13.40.20,569000000
1001AY0V9	05.12.2022 15.02.36,444000000
1001AY0V7	05.12.2022 13.28.58,160000000
1001AY0V1	05.12.2022 19.44.09,638000000
1001AY0UY	08.12.2022 13.41.30,629000000
1001AY0UV	05.12.2022 13.23.22,813000000
1001AY0UU	05.12.2022 13.24.09,071000000
1001AY0UR	05.12.2022 13.22.54,193000000
1001AY0UQ	05.12.2022 13.15.29,652000000
1001AY0UP	05.12.2022 13.18.19,004000000
1001AY0UN	05.12.2022 13.20.05,736000000
1001AY0UK	05.12.2022 13.12.18,627000000
1001AY0UG	05.12.2022 13.22.13,911000000
1001AY0UD	05.12.2022 13.09.56,292000000
1001AY0UC	05.12.2022 13.21.46,798000000
1001AY0UB	06.12.2022 22.06.17,488000000
1001AY0U8	07.12.2022 11.28.51,809000000
1001AY0U7	05.12.2022 13.04.44,481000000
1001AY0U4	05.12.2022 13.00.42,432000000
1001AY0U3	05.12.2022 13.37.27,477000000
1001AY0U1	05.12.2022 13.07.34,392000000
1001AY0TS	05.12.2022 13.27.34,463000000
1001AY0Ti	05.12.2022 12.50.34,270000000
1001AY0TH	05.12.2022 12.48.58,800000000
1001AY0TG	05.12.2022 12.47.21,010000000
1001AY0TE	05.12.2022 13.14.05,252000000
1001AY0TC	05.12.2022 15.32.32,493000000
1001AY0T7	05.12.2022 12.44.40,287000000
1001AY0T0	05.12.2022 12.49.38,310000000
1001AY0SX	05.12.2022 12.42.07,246000000
1001AY0SW	06.12.2022 09.37.11,170000000
1001AY0SR	05.12.2022 12.40.32,158000000
1001AY0SQ	05.12.2022 12.40.48,210000000
1001AY0SN	05.12.2022 12.47.22,877000000
1001AY0SK	05.12.2022 12.52.34,636000000
1001AY0SJ	05.12.2022 12.36.22,141000000
1001AY0Si	05.12.2022 12.35.29,026000000
1001AY0SH	05.12.2022 12.36.44,746000000
1001AY0SF	05.12.2022 12.30.56,287000000
1001AY0SB	05.12.2022 12.40.51,954000000
1001AY0SA	05.12.2022 12.43.30,599000000
1001AY0S8	05.12.2022 12.27.59,972000000
1001AY0S4	05.12.2022 12.28.25,589000000
1001AY0S2	05.12.2022 12.29.13,702000000
1001AY0RW	06.12.2022 19.10.59,762000000
1001AY0RS	05.12.2022 12.07.08,771000000
1001AY0RP	05.12.2022 12.16.09,593000000
1001AY0Ro	07.12.2022 14.00.37,299000000
1001AY0RB	05.12.2022 12.33.39,376000000
1001AY0R9	05.12.2022 11.52.25,396000000
1001AY0R8	05.12.2022 11.52.00,059000000
1001AY0R4	05.12.2022 12.04.32,576000000
1001AY0R1	08.12.2022 00.34.52,990000000
1001AY0R0	05.12.2022 13.13.00,610000000
1001AY0QM	05.12.2022 11.36.39,364000000
1001AY0Qi	05.12.2022 11.51.21,415000000
1001AY0QH	05.12.2022 11.34.40,509000000
1001AY0QD	05.12.2022 11.37.52,775000000
1001AY0QC	05.12.2022 11.33.32,417000000
1001AY0Q9	05.12.2022 11.27.47,724000000
1001AY0Q5	05.12.2022 11.24.18,151000000
1001AY0Q3	05.12.2022 11.23.52,454000000
1001AY0Q2	05.12.2022 11.21.25,193000000
1001AY0Q1	05.12.2022 11.22.35,976000000
1001AY0Q0	05.12.2022 11.21.04,881000000
